Date,venue,City,State,Country,Recording Surfaced
10/23/1991,After The Gold Rush,Tempe,AZ,United States,TRUE
10/24/1991,Iguana's,Tijuana,,Mexico ,FALSE
10/24/1991,Off The Record,San Diego,CA,United States,TRUE
10/25/1991,The Palace (Rock For Choice Benefit),Hollywood,CA,United States,TRUE
10/26/1991,Warfield Theater,San Francisco,CA,United States,TRUE
10/27/1991,The Palace,Hollywood,CA,United States,TRUE
10/29/1991,Fox Theatre,Portland,OR,United States,TRUE
10/30/1991,Commodore Ballroom,Vancouver,BC,Canada,TRUE
10/31/1991,Paramount Theatre,Seattle,WA,United States,TRUE
11/4/1991,Bierkeller,Bristol,,United Kingdom,TRUE
11/5/1991,Astoria Theatre,London,,United Kingdom,TRUE
11/6/1991,Wulfrun Hall,Wolverhampton,,United Kingdom,TRUE
11/8/1991,Limehouse Studios (The Word),London,,United Kingdom,TRUE
11/10/1991,Loft,Berlin,,Germany ,TRUE
11/11/1991,Markthalle,Hamburg,,Germany ,TRUE
11/12/1991,Batschkapp,Frankfurt,,Germany ,FALSE
11/13/1991,Nachtwerk,München,,Germany ,TRUE
11/14/1991,Arena,Wien,,Austria ,TRUE
11/16/1991,Teatro Verdi,Muggia,,Italy,TRUE
11/17/1991,Bloom,Mezzago,,Italy,TRUE
11/19/1991,Teatro Castello,Roma,,Italy,TRUE
11/20/1991,Kryptonite,Baricella,,Italy,TRUE
11/23/1991,Vooruit,Gent,,Belgium,TRUE
11/25/1991,NOB Radiostudio,Hilversum,,Netherlands,TRUE
11/25/1991,Paradiso,Amsterdam,,Netherlands,TRUE
11/26/1991,"Communal Building, University of Bradford",Bradford,,United Kingdom,TRUE
11/27/1991,BBC Elstree Centre (Top of the Pops),Borehamwood,,United Kingdom,TRUE
11/27/1991,Hummingbird,Birmingham,,United Kingdom,TRUE
11/28/1991,"Octagon Centre, University of Sheffield",Sheffield,,United Kingdom,TRUE
11/29/1991,Calton Studios,Edinburgh,,United Kingdom,TRUE
11/30/1991,"Queen Margaret Union, University of Glasgow",Glasgow,,United Kingdom,TRUE
11/30/1991,"Queen Margaret Union, University of Glasgow",Glasgow,,United Kingdom,TRUE
12/1/1991,The Southern Bar,Edinburgh,,United Kingdom,FALSE
12/2/1991,The Mayfair,Newcastle,,United Kingdom,TRUE
12/3/1991,Rock City,Nottingham,,United Kingdom,TRUE
12/4/1991,Academy,Manchester,,United Kingdom,TRUE
12/5/1991,Kilburn National Ballroom,London,,United Kingdom,TRUE
12/6/1991,The Greenwood (Tonight with Jonathan Ross),London,,United Kingdom,TRUE
12/7/1991,Salle Omnisports (Trans Musicales),Rennes,,France,TRUE
12/27/1991,Los Angeles Memorial Sports Arena,Los Angeles,CA,United States,FALSE
12/28/1991,"Pat O'Brien Pavilion, Del Mar Fairgrounds",Del Mar,CA,United States,TRUE
12/29/1991,"University Activity Center, Arizona State University",Tempe,AZ,United States,TRUE
12/31/1991,Cow Palace,Daly City,CA,United States,TRUE
1/2/1992,Salem Armory,Salem,OR,United States,TRUE
1/2/1992,Salem Armory Auditorium,Salem,OR,United States,TRUE
1/9/1992,NBC Studios (Saturday Night Live rehearsal),New York,NY,United States,FALSE
1/10/1992,MTV Studios,New York,NY,United States,TRUE
1/11/1992,NBC Studios (Saturday Night Live dress rehearsal),New York,NY,United States,FALSE
1/11/1992,NBC Studios (Saturday Night Live),New York,NY,United States,TRUE
1/15/1992,Crocodile Cafe,Seattle,WA,United States,TRUE
1/24/1992,Phoenecian Club,Sydney,,Australia ,TRUE
1/25/1992,Hordern Pavilion,Sydney,,Australia ,TRUE
1/26/1992,Fisherman's Wharf,Gold Coast,,Australia ,FALSE
1/27/1992,Brisbane Festival Hall,Brisbane,,Australia ,FALSE
1/30/1992,Thebarton Theatre,Adelaide,,Australia ,TRUE
1/31/1992,Palace,Melbourne,,Australia ,TRUE
2/1/1992,Palace,Melbourne,,Australia ,TRUE
2/2/1992,The Palace,Melbourne,,Australia,FALSE
2/5/1992,ANU Union Bar,Canberra,,Australia ,TRUE
2/6/1992,"Selina's, The Coogee Bay Hotel",Sydney,,Australia ,TRUE
2/7/1992,"Selina's, The Coogee Bay Hotel",Sydney,,Australia ,TRUE
2/9/1992,Logan Campbell Centre,Auckland,,New Zealand ,FALSE
2/14/1992,Kokusai Koryu Center,Osaka,,Japan,TRUE
2/16/1992,Club Quattro,Nagoya,,Japan,TRUE
2/17/1992,Club Citta,Kawasaki,,Japan,FALSE
2/19/1992,Nakano Sunplaza,Tokyo,,Japan,TRUE
2/21/1992,Pink's Garage,Honolulu,HI,United States,FALSE
2/22/1992,Pink's Garage,Honolulu,HI,United States,TRUE
6/21/1992,Point Depot,Dublin,,Ireland,TRUE
6/22/1992,King's Hall,Belfast,,United Kingdom,TRUE
6/24/1992,Zénith,Paris,,France,TRUE
6/26/1992,Dyrskuepladsen,Roskilde,,Denmark,TRUE
6/27/1992,Kansanpuisto,Turku,,Finland,TRUE
6/28/1992,Kalvøya (Kalvøyafestivalen),Oslo,,Norway,TRUE
6/30/1992,Sjöhistoriska Museet,Stockholm,,Sweden,TRUE
7/2/1992,Plaza de Toros de Valencia,Valencia,,Spain ,TRUE
